Title,Genre,Release date,Metascore,N. Critics,User Score,N. Users,Developer,Publisher
Chicory: A Colorful Tale,Adventure,"Jun 10, 2021",90,26,7.5,105,Greg Lobanov,Finji
Xenoblade Chronicles: Definitive Edition,Action RPG,"May 29, 2020",89,94,8.8,1475,Monolith Soft,Nintendo
Dead Cells,Metroidvania,"Aug 7, 2018",89,40,8.3,692,Motion Twin,Motion Twin
Into the Breach,Turn-Based Tactics,"Feb 27, 2018",90,63,7.8,522,Subset Games,Subset Games
Unicorn Overlord,Real-Time Tactics,"Mar 8, 2024",86,43,8.3,259,Vanillaware,Sega
Xenoblade Chronicles 3,Action RPG,"Jul 29, 2022",89,127,8.5,1547,Monolith Soft,Nintendo
Super Mario 3D World + Bowser's Fury,3D Platformer,"Feb 12, 2021",89,129,8.6,1124,Nintendo,Nintendo
Atari 50: The Anniversary Celebration,Compilation,"Nov 11, 2022",89,19,7.8,23,Digital Eclipse,Atari SA
Fire Emblem: Three Houses,Turn-Based Tactics,"Jul 26, 2019",89,109,8.8,3107,Intelligent Systems,Nintendo
NieR: Automata - The End of YoRHa Edition,Action RPG,"Oct 6, 2022",89,35,7.6,392,PlatinumGames,Square Enix
Okami HD,Action Adventure,"Oct 30, 2012",90,44,8.9,427,HexaDrive,Capcom
Death's Door,Action Adventure,"Jul 20, 2021",85,61,8.1,367,Acid Nerve,Devolver Digital
A Short Hike,Adventure,"Aug 18, 2020",88,17,8.6,307,adamgryu,Whippoorwill Limited
Neon White,FPS,"Jun 16, 2022",89,44,8.4,226,Angel Matrix,Annapurna Interactive
Lorelei and the Laser Eyes,Adventure,"May 16, 2024",88,39,8.0,22,Simogo,Annapurna Interactive
DUSK,FPS,"Dec 10, 2018",88,20,8.3,290,New Blood Interactive,New Blood Interactive
Prince of Persia: The Lost Crown,Metroidvania,"Jan 18, 2024",86,84,8.5,800,Ubisoft Montpellier,Ubisoft
Hyper Light Drifter,Action RPG,"Mar 31, 2016",84,51,8.2,435,Heart Machine,Heart Machine
Tunic,Open-World Action,"Mar 16, 2022",85,66,7.8,579,ISOMETRICORP Games,Finji
Cuphead in the Delicious Last Course,2D Platformer,"Jun 30, 2022",89,40,8.6,215,Studio MDHR,Studio MDHR
What Remains of Edith Finch,First-Person Adventure,"Apr 25, 2017",88,68,8.4,1095,Giant Sparrow,Annapurna Interactive
13 Sentinels: Aegis Rim,Adventure,"Sep 22, 2020",85,70,8.9,472,Vanillaware,Atlus
Fez,2D Platformer,"Apr 13, 2012",89,66,6.3,411,Polytron Corp.,Polytron Corp.
Metroid Dread,Metroidvania,"Oct 8, 2021",88,133,8.6,3044,Nintendo,Nintendo
Super Mario Maker 2,2D Platformer,"Jun 28, 2019",88,106,8.4,1112,Nintendo,Nintendo
Monster Hunter Rise,Action RPG,"Mar 26, 2021",88,130,6.9,1238,Capcom,Capcom
Downwell,Action,"Oct 15, 2015",81,21,6.8,151,Moppin,Devolver Digital
Vampire Survivors,Top-Down Shoot-'Em-Up,"Oct 20, 2022",86,31,8.3,471,poncle,poncle
Diablo III: Eternal Collection,Action RPG,"Nov 2, 2018",88,63,7.2,441,Iron Galaxy Studios,Blizzard Entertainment
DAVE THE DIVER,Action Adventure,"Jun 28, 2023",90,45,8.3,500,MINT ROCKET,MINT ROCKET
SteamWorld Dig 2,Metroidvania,"Sep 21, 2017",88,38,8.5,405,Image & Form,Image & Form
Paper Mario: The Thousand-Year Door,JRPG,"May 23, 2024",88,103,8.9,726,Intelligent Systems,Nintendo
Ikaruga,Vertical Shoot-'Em-Up,"Apr 15, 2003",85,52,8.2,39,Treasure,Atari SA
Cave Story Plus,Metroidvania,"Jun 20, 2017",88,12,7.9,190,Nicalis,Nicalis
Stardew Valley,RPG,"Feb 26, 2016",89,32,8.8,2051,ConcernedApe,Chucklefish
Quake Remastered,FPS,"Aug 19, 2021",81,8,8.4,53,id Software,Bethesda Softworks
Inscryption,Card Battle,"Oct 19, 2021",85,54,8.6,497,Daniel Mullins Games,Devolver Digital
Cuphead,2D Platformer,"Sep 29, 2017",86,76,8.5,1323,Studio MDHR,Studio MDHR
The Stanley Parable: Ultra Deluxe,First-Person Adventure,"Apr 27, 2022",90,16,8.3,338,Crows Crows Crows,Crows Crows Crows
Astral Chain,Action Adventure,"Aug 30, 2019",87,98,8.9,3532,PlatinumGames,Nintendo
Star Ocean: The Second Story R,JRPG,"Nov 2, 2023",86,32,8.4,120,Gemdrops,Square Enix
Dragon Ball FighterZ,2D Fighting,"Jan 26, 2018",87,78,8.0,787,Arc System Works,Bandai Namco Games
Pikmin 4,Real-Time Strategy,"Jul 21, 2023",87,123,9.0,845,Nintendo,Nintendo
Kentucky Route Zero: TV Edition,Adventure,"Jan 28, 2020",87,23,7.0,91,Cardboard Computer,Annapurna Interactive
Guacamelee! 2,Metroidvania,"Aug 21, 2018",83,70,7.9,142,DrinkBox Studios,DrinkBox Studios
Enter the Gungeon,Top-Down Shoot-'Em-Up,"Apr 5, 2016",82,33,8.0,268,Dodge Roll,Devolver Digital
The Legend of Zelda: Link's Awakening,Open-World Action,"Sep 20, 2019",87,121,8.4,1901,GREZZO,Nintendo
Super Mega Baseball 3,Baseball,"May 13, 2020",83,12,7.3,16,Metalhead Software,Metalhead Software
Tinykin,3D Platformer,"Aug 30, 2022",78,19,7.9,65,Splashteam,tinyBuild
Teenage Mutant Ninja Turtles: Shredder's Revenge,2D Beat-'Em-Up,"Jun 16, 2022",85,47,8.1,172,Tribute Games,DotEmu
Theatrhythm Final Bar Line,Rhythm,"Feb 16, 2023",87,43,7.8,82,indieszero,Square Enix
Overcooked! All You Can Eat,Compilation,"Nov 12, 2020",84,13,7.1,70,Ghost Town Games Ltd.,Team17
The Cosmic Wheel Sisterhood,Adventure,"Aug 16, 2023",85,31,6.7,35,Deconstructeam,Devolver Digital
Two Point Campus,Tycoon,"Aug 9, 2022",83,68,7.2,55,Two Point Studios,Sega
qomp2,Arcade,"Feb 20, 2024",87,7,5.4,5,Graphite Lab,Atari
OlliOlli World,2D Platformer,"Feb 8, 2022",84,39,7.3,68,roll7,Private Division
Axiom Verge,Metroidvania,"Mar 31, 2015",84,61,7.8,222,Tom Happ,Tom Happ
Grindstone,Matching Puzzle,"Dec 15, 2020",87,13,7.5,26,Capy Games,Capy Games
Katamari Damacy REROLL,Action Adventure,"Dec 7, 2018",87,23,7.9,123,Bandai Namco Games,Bandai Namco Games
Owlboy,Action Adventure,"Nov 1, 2016",88,48,7.6,285,D-Pad Studio,D-Pad Studio
Velocity 2X,Top-Down Shoot-'Em-Up,"Sep 2, 2014",86,38,6.9,336,FuturLab,FuturLab
Streets of Rage 4,2D Beat-'Em-Up,"Apr 30, 2020",84,54,8.2,387,Lizardcube,DotEmu
There is no game : Wrong dimension,Point-and-Click,"Apr 14, 2021",87,10,7.9,58,Draw Me A Pixel,Draw Me A Pixel
Iconoclasts,Metroidvania,"Jan 23, 2018",83,24,7.2,79,Konjak,Bifrost Entertainment
The Last Friend,Defense,"Apr 7, 2022",86,7,7.3,6,Stonebot Studio,Skystone Games
Bustafellows,Visual Novel,"Jul 30, 2021",86,7,6.5,19,eXtend,PQube
Rocket League,Soccer,"Jul 7, 2015",85,50,8.2,2330,Psyonix,Psyonix
The Great Ace Attorney Chronicles,Compilation,"Jul 27, 2021",86,51,8.1,294,Capcom,Capcom
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4,Auto Racing,"Mar 9, 2023",86,9,7.6,53,Nintendo,Nintendo
Overboard!,Adventure,"Jun 2, 2021",86,16,8.3,16,inkle,inkle
The Messenger,Metroidvania,"Aug 30, 2018",86,43,8.4,284,Sabotage Studio,Devolver Digital
Disco Elysium: The Final Cut,Western RPG,"Mar 30, 2021",89,31,8.3,799,ZA/UM,ZA/UM
Unpacking,Puzzle,"Nov 2, 2021",83,28,7.6,174,Witch Beam,Witch Beam
Donkey Kong Country: Tropical Freeze,2D Platformer,"Feb 21, 2014",83,77,8.9,993,Retro Studios,Nintendo
Monster Boy and the Cursed Kingdom,Metroidvania,"Dec 4, 2018",86,24,8.0,161,FDG Entertainment,FDG Entertainment
Transistor,Action RPG,"May 20, 2014",83,57,8.1,716,Supergiant Games,Supergiant Games
30XX,2D Platformer,"Aug 9, 2023",82,11,7.1,7,Batterystaple Games,Batterystaple Games
Minecraft,Sandbox,"May 9, 2012",82,63,8.1,1591,4J Studios,Microsoft Game Studios
Shantae and the Pirate's Curse,2D Platformer,"Oct 23, 2014",82,18,8.6,145,WayForward,WayForward
Anonymous;Code,Visual Novel,"Sep 8, 2023",86,12,8.0,11,5pb,Spike Chunsoft
Bayonetta 3,Linear Action Adventure,"Oct 28, 2022",86,131,7.3,756,PlatinumGames,Nintendo
Guacamelee! Super Turbo Championship Edition,Metroidvania,"Jul 1, 2014",87,30,7.7,449,DrinkBox Studios,DrinkBox Studios
Ghost Trick: Phantom Detective,Adventure,"Jan 11, 2011",83,60,9.5,1704,Capcom,Capcom
Star Wars Pinball,Pinball,"Sep 13, 2019",86,30,7.5,42,Zen Studios,Zen Studios
Sid Meier's Civilization VI,4X Strategy,"Oct 20, 2016",88,91,7.1,1831,Firaxis Games,2K Games
Crypt of the NecroDancer,Rhythm,"Apr 23, 2015",87,46,7.7,255,Brace Yourself Games,Brace Yourself Games
Warframe,Third Person Shooter,"Nov 12, 2013",64,25,7.1,631,Digital Extremes,Digital Extremes
Luigi's Mansion 3,Action Adventure,"Oct 31, 2019",86,112,8.4,1505,Next Level Games,Nintendo
AI: The Somnium Files,Action Adventure,"Sep 17, 2019",78,22,8.7,384,Spike Chunsoft,Spike Chunsoft
The Legend of Heroes: Trails to Azure,JRPG,"Mar 14, 2023",81,18,8.1,28,Falcom,NIS America
Assault Android Cactus+,Top-Down Shoot-'Em-Up,"Mar 8, 2019",86,11,8.4,36,Witch Beam,Witch Beam
Huntdown,2D Platformer,"May 12, 2020",82,16,7.7,71,Easy Trigger Games,Coffee Stain Studios
Sumire,Adventure,"May 27, 2021",86,17,7.9,15,GameTomo,GameTomo
BlazBlue: Central Fiction,2D Fighting,"Nov 1, 2016",84,22,7.8,111,Arc System Works,Aksys Games
Sonic Mania,2D Platformer,"Aug 15, 2017",86,76,8.4,796,Sega,Sega
Mini Metro,Management,"Aug 30, 2018",86,9,8.2,64,Radial Games Corp.,Radial Games Corp.
Shin Megami Tensei V: Vengeance,JRPG,"Jun 14, 2024",87,35,8.1,129,Atlus,Sega
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Rhythm,"Jun 13, 2019",85,71,7.9,324,Brace Yourself Games,Nintendo
Mario + Rabbids Sparks of Hope,Turn-Based Tactics,"Oct 20, 2022",85,124,7.5,313,Ubisoft Paris,Ubisoft
Thumper,Rhythm,"Oct 10, 2016",84,40,7.3,138,Drool,Drool
Kingdom Two Crowns,Action Adventure,"Dec 11, 2018",85,11,7.6,62,Coatsink Software,Raw Fury
The Legend of Heroes: Trails from Zero,JRPG,"Sep 27, 2022",80,19,7.4,41,Falcom,NIS America
Blaster Master Zero II,Top-Down Shoot-'Em-Up,"Mar 20, 2019",85,11,8.4,42,Inti Creates,Inti Creates
Final Fantasy XII: The Zodiac Age,JRPG,"Jul 11, 2017",86,79,8.4,731,Square Enix,Square Enix
Slay the Spire,Card Battle,"Jan 23, 2019",89,28,7.8,824,Mega Crit Games,Mega Crit Games
Bug Fables: The Everlasting Sapling,Action RPG,"May 28, 2020",85,14,8.4,145,Moonsprout Games,DANGEN Entertainment
Paranormasight: The Seven Mysteries of Honjo,Visual Novel,"Mar 9, 2023",85,30,8.5,52,Xeen,Square Enix
Night in the Woods,Adventure,"Feb 21, 2017",88,38,7.7,468,Infinite Fall,Finji
The Binding of Isaac: Afterbirth +,Top-Down Shoot-'Em-Up,"Mar 17, 2017",85,16,8.3,356,Nicalis,Nicalis
Wargroove 2,Turn-Based Tactics,"Oct 5, 2023",85,13,5.9,15,Robotality,Chucklefish
Easy Come Easy Golf,Golf,"Sep 13, 2022",85,7,7.5,8,Clap Hanz,Clap Hanz
The Witcher 3: Wild Hunt - Complete Edition,Action RPG,"Oct 15, 2019",85,70,8.8,1833,CD Projekt Red Studio,CD Projekt Red Studio
Monster Hunter Rise: Sunbreak,Action RPG,"Jun 30, 2022",86,50,4.7,205,Capcom,Capcom
Octopath Traveler II,JRPG,"Feb 24, 2023",85,61,8.6,319,Acquire,Square Enix
Two Point Hospital,Tycoon,"Aug 29, 2018",83,57,7.5,251,Two Point Studios,Sega
Tony Hawk's Pro Skater 1 + 2,Skating,"Sep 4, 2020",89,76,8.6,670,Vicarious Visions,Activision
Doki Doki Literature Club Plus!,Visual Novel,"Jun 30, 2021",85,15,8.1,175,Team Salvato,Serenity Forge
Pikmin 3 Deluxe,Real-Time Strategy,"Oct 30, 2020",85,95,8.6,287,Eighting,Nintendo
Dragon Quest Builders 2,Sandbox,"Jul 12, 2019",86,64,8.0,160,Omega Force,Square Enix
Lil' Guardsman,Adventure,"Jan 23, 2024",82,10,tbd,N/A,Hilltop Studios,tinyBuild
Heroes of Hammerwatch - Ultimate Edition,Action RPG,"Jul 29, 2020",85,8,7.5,13,Crackshell,BlitWorks
West of Loathing,RPG,"May 31, 2018",85,17,8.1,74,Asymmetric Publications,Asymmetric Publications
Return to Monkey Island,Point-and-Click,"Sep 19, 2022",87,59,7.4,280,Terrible Toybox,Devolver Digital
A Space For The Unbound,Adventure,"Jan 19, 2023",85,25,7.6,52,Mojiken Studio,Chorus Worldwide
Tangle Tower,Adventure,"Oct 22, 2019",85,12,7.9,32,SFB Games,SFB Games
Kirby and the Forgotten Land,3D Platformer,"Mar 25, 2022",85,142,8.9,902,HAL Labs,Nintendo
NeuroVoider,Top-Down Shoot-'Em-Up,"Sep 7, 2017",85,10,7.6,39,Flying Oak Games,Plug In Digital
Mutant Mudds Collection,Compilation,"Dec 14, 2017",85,10,8.2,36,Atooi LLC,Atooi LLC
Darkest Dungeon,RPG,"Feb 3, 2015",84,59,7.9,959,Red Hook Studios,Red Hook Studios
Steins;Gate Elite,Visual Novel,"Feb 19, 2019",86,22,7.8,78,Mages.,Spike Chunsoft
Shovel Knight Dig,2D Platformer,"Sep 23, 2022",81,26,7.1,18,Yacht Club Games,Yacht Club Games
Final Fantasy X / X-2 HD Remaster,Compilation,"Mar 18, 2014",85,50,8.3,623,Virtuos,Square Enix
Mario + Rabbids: Kingdom Battle,Turn-Based Tactics,"Aug 29, 2017",85,111,8.2,1417,Ubisoft Paris,Ubisoft
Disgaea 4 Complete+,Turn-Based Tactics,"Oct 29, 2019",85,9,7.2,31,Nippon Ichi Software,NIS America
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,Roguelike,"Feb 27, 2024",84,24,7.9,17,Spike Chunsoft,Spike Chunsoft
Apollo Justice: Ace Attorney Trilogy,Compilation,"Jan 25, 2024",84,31,8.4,29,Capcom,Capcom
Tactics Ogre: Reborn,Turn-Based Tactics,"Nov 11, 2022",84,33,5.8,140,Square Enix,Square Enix
Shantae: Half-Genie Hero - Ultimate Edition,2D Platformer,"May 8, 2018",84,11,8.0,105,WayForward,XSEED Games
Keep Talking and Nobody Explodes,Action Puzzle,"Aug 16, 2018",84,10,7.8,22,Steel Crate Games,Steel Crate Games
Blasphemous 2,Metroidvania,"Aug 24, 2023",84,35,7.8,203,The Game Kitchen,Team17
Hypnospace Outlaw,Point-and-Click,"Mar 12, 2019",83,22,7.2,67,Tendershoot,No More Robots
Lonely Mountains: Downhill,Biking,"May 7, 2020",84,17,7.3,67,Megagon Industries,Image & Form
Thronebreaker: The Witcher Tales,Card Battle,"Nov 9, 2018",85,55,8.1,740,CD Projekt Red Studio,CD Projekt Red Studio
Shin Megami Tensei V,JRPG,"Nov 12, 2021",84,103,7.6,817,Atlus,Atlus
Shovel Knight: Specter of Torment,2D Platformer,"Mar 3, 2017",84,21,8.1,143,Yacht Club Games,Yacht Club Games
Valkyria Chronicles,Turn-Based Tactics,"Nov 4, 2008",86,60,8.6,350,Sega,Sega
80 Days,Visual Novel,"Jul 31, 2014",88,21,7.1,54,N/A,N/A
WHAT THE GOLF?,Golf,"May 21, 2020",84,27,8.1,68,Triband,Triband
PowerWash Simulator,Virtual Career,"Jul 14, 2022",75,15,6.8,89,FuturLab,Square Enix Collective
Toki Tori 2,Action Puzzle,"Apr 4, 2013",76,27,7.5,54,Two Tribes,Two Tribes
Bayonetta,Linear Action Adventure,"Jan 5, 2010",90,86,8.3,701,PlatinumGames,Sega
Mega Man X Legacy Collection,Compilation,"Jul 24, 2018",84,16,7.0,62,M2,Capcom
Rayman Legends: Definitive Edition,2D Platformer,"Sep 12, 2017",84,35,8.5,310,Ubisoft Montpellier,Ubisoft
SNK vs. Capcom: Card Fighters' Clash,Card Battle,"Jan 12, 2022",84,16,5.3,8,SNK,SNK
Lil Gator Game,Open-World Action,"Dec 14, 2022",84,17,8.3,30,Scott Slucher,Playtonic Friends
The Elder Scrolls V: Skyrim Special Edition,Western RPG,"Nov 17, 2017",84,67,8.3,894,Iron Galaxy Studios,Bethesda Softworks
Dorfromantik,Turn-Based Strategy,"Sep 29, 2022",84,14,7.3,27,Toukana Interactive,Toukana Interactive
Child of Light,RPG,"Apr 29, 2014",82,46,8.0,683,Ubisoft Montreal,Ubisoft
Mushihimesama,Vertical Shoot-'Em-Up,"Jun 15, 2021",84,13,8.2,9,Cave,Live Wire
Beacon Pines,Adventure,"Sep 22, 2022",84,16,7.7,40,Hiding Spot,Fellow Traveller
Wargroove,Turn-Based Tactics,"Feb 1, 2019",84,47,7.3,195,Chucklefish,Chucklefish
Lovers in a Dangerous Spacetime,Horizontal Shoot-'Em-Up,"Sep 9, 2015",82,27,7.0,44,Asteroid Base,Asteroid Base
Oxenfree II: Lost Signals,Point-and-Click,"Jul 12, 2023",73,49,7.4,30,Night School Studio,Netflix
BioShock: The Collection,Compilation,"Sep 13, 2016",84,39,8.6,957,2K Games,2K Games
The Legend of Heroes: Trails of Cold Steel III,JRPG,"Oct 22, 2019",82,30,8.7,219,Falcom,NIS America
Infernax,Metroidvania,"Feb 14, 2022",84,15,7.8,39,Berzerk Studio,The Arcade Crew
"Snipperclips Plus: Cut It Out, Together!",Puzzle,"Nov 10, 2017",84,13,8.0,97,SFB Games,Nintendo
Atelier Ryza: Ever Darkness & the Secret Hideout,JRPG,"Oct 29, 2019",75,21,8.5,129,Gust,Koei Tecmo Games
Danmaku Unlimited 3,Vertical Shoot-'Em-Up,"Mar 13, 2018",84,7,8.1,28,Doragon Entertainment,Doragon Entertainment
Fantasy Zone,Horizontal Shoot-'Em-Up,"Jan 23, 2020",84,10,8.2,12,M2,Sega
DREDGE,Action Adventure,"Mar 30, 2023",80,43,8.0,223,Black Salt Games,Team17
Chants of Sennaar,Adventure,"Sep 5, 2023",85,14,8.6,96,Rundisc,Focus Entertainment
Baba Is You,Action Puzzle,"Mar 13, 2019",84,26,7.8,138,MP2 Games,Hempuli Oy
Sayonara Wild Hearts,Rhythm,"Sep 19, 2019",84,35,8.3,92,Simogo,Annapurna Interactive
Lost in Play,Adventure,"Aug 10, 2022",84,12,8.3,30,HappyJuice Games,HappyJuice Games
Spiritfarer,Sandbox,"Aug 18, 2020",84,37,8.2,258,Thunder Lotus Games,Thunder Lotus Games
Timespinner,Metroidvania,"Jun 4, 2019",84,10,7.4,47,Lunar Ray Games,Chucklefish
Fuga: Melodies of Steel 2,JRPG,"May 11, 2023",84,7,8.0,5,CyberConnect2,CyberConnect2
Ape Out,Top-Down Shoot-'Em-Up,"Feb 28, 2019",83,35,6.9,118,Gabe Cuzzillo,Devolver Digital
OutRun,Auto Racing,"Mar 12, 2015",87,14,7.9,42,M2,Sega
To the Moon,Adventure,"Nov 1, 2011",81,26,8.9,1562,Freebird Games,Freebird Games
Final Fantasy Pixel Remaster: FF35th Anniversary Edition,Compilation,"Apr 21, 2023",84,17,8.0,50,Square Enix,Square Enix
Retro Bowl,Football Sim,"Feb 10, 2022",84,7,7.6,31,Five Aces Publishing Ltd.,Five Aces Publishing Ltd.
ENDER LILIES: Quietus of the Knights,Metroidvania,"Jun 22, 2021",86,28,8.4,173,Live Wire,Binary Haze Interactive
Super Mario RPG,JRPG,"Nov 17, 2023",84,118,8.4,383,ArtePiazza,Nintendo
We Love Katamari REROLL+ Royal Reverie,Action Adventure,"Jun 2, 2023",81,18,7.1,15,MONKEYCRAFT Co. Ltd.,Bandai Namco Games
Super Meat Boy,2D Platformer,"Oct 20, 2010",90,51,8.0,407,Team Meat,Team Meat
World of Goo,Action Puzzle,"Oct 12, 2008",90,26,8.2,684,2D Boy,2D Boy
Ni no Kuni: Wrath of the White Witch,JRPG,"Jan 22, 2013",85,89,8.7,1196,Level 5,Namco Bandai Games
Botany Manor,First-Person Adventure,"Apr 9, 2024",82,19,7.3,27,Balloon Studios,Whitethorn Digital
Just Shapes & Beats,Rhythm,"May 31, 2018",83,17,8.5,93,Berzerk Studio,Berzerk Studio
VA-11 Hall-A: Cyberpunk Bartender Action,Simulation,"May 2, 2019",83,23,8.0,105,Sukeban Games,Ysbryd Games
Fortnite,Tactical Third Person Shooter,"Jul 21, 2017",78,18,4.6,2101,Epic Games,Gearbox Publishing
Lumines Remastered,Matching Puzzle,"Jun 26, 2018",83,21,8.1,35,Resonair,Enhance Games
Castlevania Advance Collection,Compilation,"Sep 23, 2021",83,17,8.5,37,M2,Konami
Tetris 99,Stacking Puzzle,"Feb 13, 2019",83,31,8.1,330,Arika,Nintendo
Disgaea 7: Vows of the Virtueless,Turn-Based Tactics,"Oct 3, 2023",84,14,6.4,34,Nippon Ichi Software,NIS America
Tales of Vesperia: Definitive Edition,Action RPG,"Jan 11, 2019",81,36,7.5,157,QLOC,Bandai Namco Games
Alien: Isolation,Survival,"Oct 7, 2014",79,50,8.4,1658,Creative Assembly,Sega
Mega Man Legacy Collection,Compilation,"Aug 25, 2015",80,30,7.2,52,Digital Eclipse,Capcom
Pine Hearts,Open-World Action,"May 23, 2024",83,8,8.3,9,Hyper Luminal Games Ltd,Little Nook
Nobody Saves the World,Action RPG,"Jan 18, 2022",79,31,7.5,100,DrinkBox Studios,DrinkBox Studios
Red Dead Redemption and Undead Nightmare,Open-World Action,"Aug 17, 2023",83,25,5.5,287,Double Eleven,Rockstar Games
Loop Hero,RPG,"Mar 4, 2021",82,63,7.3,232,Four Quarters,Devolver Digital
AI: The Somnium Files - nirvanA Initiative,Action Adventure,"Jun 24, 2022",85,21,8.5,59,Spike Chunsoft,Spike Chunsoft
Splatoon 3,Third Person Shooter,"Sep 9, 2022",83,123,7.0,626,Nintendo,Nintendo
Ring Fit Adventure,Exercise,"Oct 18, 2019",83,58,8.6,305,Nintendo,Nintendo
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3,Auto Racing,"Dec 7, 2022",83,7,7.3,24,Nintendo,Nintendo
Wayward Strand,Adventure,"Sep 15, 2022",79,11,tbd,N/A,Ghost Pattern,Ghost Pattern
Paper Trail,Adventure,"May 21, 2024",75,11,tbd,N/A,Newfangled Games,Newfangled Games
Duck Game,2D Platformer,"May 1, 2019",83,9,8.1,43,Landon Podbielski,Adult Swim
Danganronpa Decadence,Compilation,"Dec 3, 2021",83,19,8.6,34,Spike Chunsoft,Spike Chunsoft
Splatoon 2,Third Person Shooter,"Jul 21, 2017",83,107,8.4,1495,Nintendo,Nintendo
Shovel Knight Pocket Dungeon,Action Puzzle,"Dec 13, 2021",84,18,7.4,10,Vine,Yacht Club Games
Shovel Knight: King of Cards,2D Platformer,"Dec 10, 2019",83,19,8.0,34,Yacht Club Games,Yacht Club Games
